hotspot_id,CHI,CHI_category,hotspot_rank,dominant_junction,dominant_police_station,explainability
HS_896189242abffff,52.15897665487705,Moderate,316,No Junction,HSR Layout,"CHI = 52 | 5.4% Junction, 15.1% Vehicle, 20.0% Violation, 25.5% Density, 25.5% Recurrence, 8.5% Temporal"
HS_89618925c67ffff,52.11849895810799,Moderate,317,BTP140 - Madiwala Check Post,Adugodi,"CHI = 52 | 27.1% Junction, 16.9% Vehicle, 20.6% Violation, 19.9% Density, 7.3% Recurrence, 8.1% Temporal"
HS_8960145b1c3ffff,52.10013164123869,Moderate,318,BTP010 - Rajajinagar Entrance,Rajajinagar,"CHI = 52 | 27.1% Junction, 16.5% Vehicle, 19.1% Violation, 22.9% Density, 11.6% Recurrence, 2.7% Temporal"
HS_89618920a37ffff,52.091022966064045,Moderate,319,No Junction,HAL Old Airport,"CHI = 52 | 5.4% Junction, 18.4% Vehicle, 20.5% Violation, 25.7% Density, 26.9% Recurrence, 3.0% Temporal"
HS_89618925d03ffff,52.03245543881824,Moderate,320,"BTP202 - East End Main Road, Jayanagar",Jayanagara,"CHI = 52 | 27.1% Junction, 17.8% Vehicle, 22.8% Violation, 20.8% Density, 6.2% Recurrence, 5.2% Temporal"
HS_8960145868bffff,52.001421471384305,Moderate,321,"BTP206 - Shankara Mutt Circle, Vijayanagar",Vijayanagara,"CHI = 52 | 27.2% Junction, 15.3% Vehicle, 20.2% Violation, 23.5% Density, 11.1% Recurrence, 2.7% Temporal"
HS_8961892086bffff,51.789627744246104,Moderate,322,No Junction,Whitefield,"CHI = 52 | 5.5% Junction, 15.9% Vehicle, 24.9% Violation, 25.6% Density, 22.8% Recurrence, 5.3% Temporal"
HS_8960145b143ffff,51.77528581893323,Moderate,323,BTP009 - Prakash Nagar Junction,Rajajinagar,"CHI = 52 | 27.3% Junction, 14.9% Vehicle, 20.4% Violation, 23.2% Density, 10.6% Recurrence, 3.7% Temporal"
HS_896189276c3ffff,51.77432277756583,Moderate,324,No Junction,Whitefield,"CHI = 52 | 5.5% Junction, 15.6% Vehicle, 19.1% Violation, 24.0% Density, 31.8% Recurrence, 4.0% Temporal"
HS_89601458483ffff,51.76966596994167,Moderate,325,"BTP022 - Marenahalli Junction, Vijayanagar",Vijayanagara,"CHI = 52 | 27.3% Junction, 14.1% Vehicle, 19.2% Violation, 23.2% Density, 10.6% Recurrence, 5.6% Temporal"
HS_8961892e00bffff,51.693785165573615,Moderate,326,No Junction,Mahadevapura,"CHI = 52 | 5.5% Junction, 16.9% Vehicle, 20.1% Violation, 24.6% Density, 25.5% Recurrence, 7.4% Temporal"
HS_8960145b093ffff,51.6740100652159,Moderate,327,BTP054 - Shivananda Circle,High ground,"CHI = 52 | 27.3% Junction, 18.4% Vehicle, 15.5% Violation, 20.7% Density, 13.1% Recurrence, 4.9% Temporal"
HS_8961892c997ffff,51.63515519647266,Moderate,328,No Junction,R.T. Nagar,"CHI = 52 | 5.5% Junction, 17.8% Vehicle, 17.3% Violation, 24.5% Density, 30.9% Recurrence, 4.1% Temporal"
HS_8960145865bffff,51.61749574471367,Moderate,329,No Junction,Rajajinagar,"CHI = 52 | 5.6% Junction, 16.6% Vehicle, 17.9% Violation, 24.9% Density, 30.9% Recurrence, 4.1% Temporal"
HS_8960145b3a3ffff,51.61217831759376,Moderate,330,BTP008 - Navarang Theatre,Malleshwaram,"CHI = 52 | 27.4% Junction, 15.3% Vehicle, 20.4% Violation, 22.3% Density, 11.1% Recurrence, 3.6% Temporal"
HS_89618924b63ffff,51.53754514478618,Moderate,331,No Junction,K.S. Layout,"CHI = 52 | 5.5% Junction, 21.4% Vehicle, 25.6% Violation, 21.9% Density, 18.7% Recurrence, 6.9% Temporal"
HS_8960145a6dbffff,51.50967730449442,Moderate,332,BTP193 - Vasavi Circle,V.V.Puram (C.Pet),"CHI = 52 | 27.4% Junction, 17.5% Vehicle, 14.0% Violation, 22.1% Density, 15.6% Recurrence, 3.4% Temporal"
HS_8960145b637ffff,51.50299704456347,Moderate,333,BTP032 - Windsor Circle,High ground,"CHI = 52 | 27.4% Junction, 20.1% Vehicle, 18.1% Violation, 19.8% Density, 11.1% Recurrence, 3.5% Temporal"
HS_89618925bd7ffff,51.46449051155392,Moderate,334,"BTP102 - BMTC Junction, KH Road",Wilson Garden,"CHI = 51 | 27.4% Junction, 17.4% Vehicle, 16.6% Violation, 20.5% Density, 15.1% Recurrence, 3.0% Temporal"
HS_89618924223ffff,51.44528830725598,Moderate,335,No Junction,HSR Layout,"CHI = 51 | 5.5% Junction, 18.5% Vehicle, 17.1% Violation, 24.6% Density, 28.3% Recurrence, 6.0% Temporal"
HS_8960145b473ffff,51.42591652514451,Moderate,336,BTP035 - Basaweshwara Circle (LH) Junction,High ground,"CHI = 51 | 27.5% Junction, 18.4% Vehicle, 15.8% Violation, 19.7% Density, 14.1% Recurrence, 4.5% Temporal"
HS_8960145a2b3ffff,51.38837635066329,Moderate,337,"BTP094 - Sri Skanda Complex, Mysore Road",Byatarayanapura,"CHI = 51 | 27.5% Junction, 16.0% Vehicle, 20.0% Violation, 20.5% Density, 11.6% Recurrence, 4.4% Temporal"
HS_89618925897ffff,51.32002259301629,Moderate,338,No Junction,Mico Layout,"CHI = 51 | 6.2% Junction, 14.0% Vehicle, 15.1% Violation, 25.8% Density, 33.0% Recurrence, 5.9% Temporal"
HS_89618920b03ffff,51.315074040352904,Moderate,339,No Junction,HAL Old Airport,"CHI = 51 | 5.5% Junction, 18.1% Vehicle, 18.0% Violation, 25.1% Density, 29.6% Recurrence, 3.8% Temporal"
HS_89618924adbffff,51.23446336393565,Moderate,340,"BTP197 - 9th Cross, 24th Main, JP Nagar",J.P. Nagar,"CHI = 51 | 27.6% Junction, 18.6% Vehicle, 18.6% Violation, 19.5% Density, 10.6% Recurrence, 5.1% Temporal"
HS_8961892e0cfffff,51.21930058225491,Moderate,341,No Junction,Mahadevapura,"CHI = 51 | 5.5% Junction, 16.7% Vehicle, 20.8% Violation, 26.5% Density, 26.6% Recurrence, 3.9% Temporal"
HS_8960145a32bffff,51.196861426168425,Moderate,342,No Junction,Byatarayanapura,"CHI = 51 | 5.5% Junction, 17.6% Vehicle, 20.9% Violation, 24.5% Density, 24.8% Recurrence, 6.7% Temporal"
HS_8960145a357ffff,51.18513584056,Moderate,343,BTP017 - Attiguppe Circle,Byatarayanapura,"CHI = 51 | 27.6% Junction, 14.1% Vehicle, 20.5% Violation, 25.3% Density, 9.0% Recurrence, 3.5% Temporal"
HS_89618920bdbffff,51.098952835290575,Moderate,344,No Junction,HAL Old Airport,"CHI = 51 | 5.5% Junction, 17.2% Vehicle, 20.8% Violation, 25.3% Density, 27.3% Recurrence, 4.0% Temporal"
HS_8961892c9b7ffff,51.09321614160118,Moderate,345,No Junction,Kodigehalli,"CHI = 51 | 5.5% Junction, 19.1% Vehicle, 19.5% Violation, 25.0% Density, 26.6% Recurrence, 4.2% Temporal"
HS_8960145b3b3ffff,51.041860687021334,Moderate,346,BTP008 - Navarang Theatre,Malleshwaram,"CHI = 51 | 27.7% Junction, 16.9% Vehicle, 19.8% Violation, 21.6% Density, 11.1% Recurrence, 2.9% Temporal"
HS_8960145b50fffff,51.0269994195385,Moderate,347,BTP074 - Leprosy Hospital Junction,Magadi Road,"CHI = 51 | 27.7% Junction, 15.3% Vehicle, 19.0% Violation, 21.8% Density, 10.1% Recurrence, 6.1% Temporal"
HS_89618925b4bffff,50.95289944671193,Moderate,348,BTP076 - Hudson Circle,Halasuru Gate,"CHI = 51 | 27.7% Junction, 17.7% Vehicle, 21.5% Violation, 16.4% Density, 6.7% Recurrence, 10.0% Temporal"
HS_89618925ba3ffff,50.947954993647095,Moderate,349,BTP184 - Lalbagh West Gate,Wilson Garden,"CHI = 51 | 27.7% Junction, 14.7% Vehicle, 17.1% Violation, 23.1% Density, 14.6% Recurrence, 2.8% Temporal"
HS_8960145b197ffff,50.94461305507485,Moderate,350,BTP071 - Prasanna Junction,Magadi Road,"CHI = 51 | 17.0% Junction, 15.2% Vehicle, 17.5% Violation, 23.0% Density, 23.6% Recurrence, 3.7% Temporal"
HS_8961892ed23ffff,50.93401223799563,Moderate,351,No Junction,Halasur,"CHI = 51 | 6.5% Junction, 15.2% Vehicle, 18.8% Violation, 25.5% Density, 29.0% Recurrence, 5.1% Temporal"
HS_8961892ecb3ffff,50.923895476149205,Moderate,352,No Junction,Jeevanbheemanagar,"CHI = 51 | 5.5% Junction, 18.4% Vehicle, 19.6% Violation, 24.8% Density, 25.5% Recurrence, 6.2% Temporal"
HS_8960145a613ffff,50.91892303048054,Moderate,353,BTP215 - Vanivillas Junction,Basavanagudi,"CHI = 51 | 27.7% Junction, 19.0% Vehicle, 19.9% Violation, 20.8% Density, 9.5% Recurrence, 3.0% Temporal"
HS_89601458683ffff,50.90387993542373,Moderate,354,BTP207 - 8th Main Road Basaveshwara Nagar,Vijayanagara,"CHI = 51 | 27.7% Junction, 19.7% Vehicle, 20.1% Violation, 19.3% Density, 9.5% Recurrence, 3.7% Temporal"
HS_8960145b083ffff,50.836228133023575,Moderate,355,BTP054 - Shivananda Circle,High ground,"CHI = 51 | 27.8% Junction, 16.9% Vehicle, 15.3% Violation, 20.8% Density, 15.6% Recurrence, 3.6% Temporal"
HS_8960145b33bffff,50.787476329482175,Moderate,356,BTP023 - Mahalaxmi Layout Entrance,Malleshwaram,"CHI = 51 | 20.9% Junction, 18.4% Vehicle, 19.0% Violation, 20.4% Density, 16.9% Recurrence, 4.4% Temporal"
HS_8960145a06fffff,50.72665862839878,Moderate,357,BTP096 - Gali Anjaneya Temple,Byatarayanapura,"CHI = 51 | 21.4% Junction, 16.1% Vehicle, 23.1% Violation, 19.5% Density, 12.1% Recurrence, 7.8% Temporal"
HS_89618927313ffff,50.69482801364605,Moderate,358,No Junction,Bellandur,"CHI = 51 | 5.6% Junction, 18.2% Vehicle, 15.4% Violation, 25.6% Density, 29.0% Recurrence, 6.3% Temporal"
HS_89618925c2fffff,50.644536972917024,Moderate,359,No Junction,Mico Layout,"CHI = 51 | 5.6% Junction, 18.5% Vehicle, 25.4% Violation, 22.7% Density, 23.2% Recurrence, 4.6% Temporal"
HS_896014584c3ffff,50.61149540499736,Moderate,360,BTP067 - Jai Muni Rao Circle,Magadi Road,"CHI = 51 | 27.9% Junction, 18.0% Vehicle, 17.7% Violation, 20.2% Density, 13.1% Recurrence, 3.0% Temporal"
HS_89618925377ffff,50.53412969372676,Moderate,361,BTP146 - Domlur Water Tank,Halasur,"CHI = 51 | 28.0% Junction, 16.6% Vehicle, 14.5% Violation, 22.3% Density, 14.6% Recurrence, 4.0% Temporal"
HS_8961892097bffff,50.50713554836433,Moderate,362,No Junction,HAL Old Airport,"CHI = 51 | 5.6% Junction, 19.0% Vehicle, 22.3% Violation, 24.9% Density, 24.8% Recurrence, 3.5% Temporal"
HS_8960145a3cfffff,50.467691442292505,Moderate,363,BTP017 - Attiguppe Circle,Byatarayanapura,"CHI = 50 | 28.0% Junction, 18.5% Vehicle, 25.5% Violation, 14.9% Density, 3.2% Recurrence, 10.0% Temporal"
HS_8960145a2d3ffff,50.437400879872385,Moderate,364,BTP091 - Sirsi Circle,Chamarajpet,"CHI = 50 | 28.0% Junction, 15.3% Vehicle, 20.9% Violation, 21.4% Density, 10.1% Recurrence, 4.3% Temporal"
HS_8961892cbcfffff,50.43142513494042,Moderate,365,No Junction,Kodigehalli,"CHI = 50 | 5.6% Junction, 19.3% Vehicle, 21.0% Violation, 24.3% Density, 20.8% Recurrence, 8.9% Temporal"
HS_8960145b5bbffff,50.38978133040034,Moderate,366,BTP085 - Briyand Circle,Chamarajpet,"CHI = 50 | 28.0% Junction, 16.2% Vehicle, 18.9% Violation, 17.9% Density, 10.6% Recurrence, 8.4% Temporal"
HS_89601459e87ffff,50.34950644158677,Moderate,367,No Junction,Chikkabanavara,"CHI = 50 | 5.6% Junction, 15.9% Vehicle, 19.8% Violation, 24.7% Density, 29.3% Recurrence, 4.7% Temporal"
HS_8960145b45bffff,50.34371290317928,Moderate,368,BTP171 - Indian Express (Balekundri),Shivajinagar,"CHI = 50 | 16.9% Junction, 18.2% Vehicle, 19.9% Violation, 23.9% Density, 16.0% Recurrence, 5.1% Temporal"
HS_8960145b6afffff,50.3395089326652,Moderate,369,BTP032 - Windsor Circle,High ground,"CHI = 50 | 19.5% Junction, 14.3% Vehicle, 17.8% Violation, 25.6% Density, 18.3% Recurrence, 4.4% Temporal"
HS_8960145a2a3ffff,50.30327911252412,Moderate,370,"BTP095 - Satellite Bus Stand, Mysore Road",Byatarayanapura,"CHI = 50 | 28.1% Junction, 17.7% Vehicle, 19.6% Violation, 16.3% Density, 9.0% Recurrence, 9.3% Temporal"
HS_89601458443ffff,50.23793975939631,Moderate,371,BTP208 - Havanur Circle,Kamakshipalya,"CHI = 50 | 28.1% Junction, 17.4% Vehicle, 21.1% Violation, 22.9% Density, 7.3% Recurrence, 3.2% Temporal"
HS_8961892440bffff,50.18900568563167,Moderate,372,No Junction,Hulimavu,"CHI = 50 | 5.6% Junction, 19.0% Vehicle, 21.1% Violation, 25.8% Density, 23.2% Recurrence, 5.3% Temporal"
HS_89618925e97ffff,50.16969672437085,Moderate,373,No Junction,Adugodi,"CHI = 50 | 5.6% Junction, 14.6% Vehicle, 19.4% Violation, 23.9% Density, 29.6% Recurrence, 6.9% Temporal"
HS_89618925a2fffff,50.16710486194125,Moderate,374,BTP100 - Richmond Circle,Ashok Nagar,"CHI = 50 | 28.2% Junction, 17.0% Vehicle, 17.4% Violation, 19.2% Density, 11.1% Recurrence, 7.1% Temporal"
HS_8960145b577ffff,50.14351752331968,Moderate,375,BTP074 - Leprosy Hospital Junction,Magadi Road,"CHI = 50 | 28.2% Junction, 16.2% Vehicle, 20.0% Violation, 19.6% Density, 12.6% Recurrence, 3.4% Temporal"
HS_89618920a3bffff,50.13320153254461,Moderate,376,No Junction,HAL Old Airport,"CHI = 50 | 5.6% Junction, 18.6% Vehicle, 20.9% Violation, 27.0% Density, 25.1% Recurrence, 2.8% Temporal"
HS_8960145a323ffff,50.11924464435599,Moderate,377,No Junction,Byatarayanapura,"CHI = 50 | 5.6% Junction, 15.6% Vehicle, 20.7% Violation, 26.1% Density, 25.5% Recurrence, 6.4% Temporal"
HS_8960145a283ffff,50.1028907984713,Moderate,378,"BTP093 - Toll Gate, Mysore Road",Chamarajpet,"CHI = 50 | 28.2% Junction, 15.6% Vehicle, 21.5% Violation, 17.5% Density, 9.5% Recurrence, 7.7% Temporal"
HS_89618925bcfffff,50.078411871168484,Moderate,379,"BTP102 - BMTC Junction, KH Road",Wilson Garden,"CHI = 50 | 28.2% Junction, 18.2% Vehicle, 16.0% Violation, 19.7% Density, 15.1% Recurrence, 2.8% Temporal"
HS_8960145b5b7ffff,50.072731731735374,Moderate,380,"BTP089 - Police Quarters, Sultan Road",Chamarajpet,"CHI = 50 | 28.2% Junction, 14.9% Vehicle, 23.3% Violation, 20.1% Density, 7.9% Recurrence, 5.5% Temporal"
HS_8960145a643ffff,50.004649601775185,Moderate,381,BTP217 - Baleyele Junction,V.V.Puram (C.Pet),"CHI = 50 | 28.2% Junction, 16.3% Vehicle, 16.8% Violation, 20.3% Density, 14.6% Recurrence, 3.9% Temporal"
HS_89618925bc3ffff,49.98875258467099,Moderate,382,"BTP102 - BMTC Junction, KH Road",Wilson Garden,"CHI = 50 | 28.3% Junction, 18.6% Vehicle, 15.2% Violation, 21.0% Density, 14.1% Recurrence, 2.8% Temporal"
HS_8960145b563ffff,49.97899922779202,Moderate,383,BTP074 - Leprosy Hospital Junction,Magadi Road,"CHI = 50 | 28.3% Junction, 14.5% Vehicle, 21.2% Violation, 22.6% Density, 10.6% Recurrence, 2.8% Temporal"
HS_89618920bb7ffff,49.95685023483209,Moderate,384,No Junction,HAL Old Airport,"CHI = 50 | 5.7% Junction, 19.7% Vehicle, 23.3% Violation, 25.9% Density, 22.4% Recurrence, 3.0% Temporal"
HS_89618925c0fffff,49.912162456649554,Moderate,385,BTP138 - Sarjapur Road Check Post,Madiwala,"CHI = 50 | 28.3% Junction, 18.8% Vehicle, 17.1% Violation, 18.1% Density, 10.1% Recurrence, 7.6% Temporal"
HS_89618920ba3ffff,49.89882008433993,Moderate,386,No Junction,HAL Old Airport,"CHI = 50 | 5.7% Junction, 20.0% Vehicle, 19.7% Violation, 26.5% Density, 24.8% Recurrence, 3.4% Temporal"
HS_8960145a21bffff,49.893802025338516,Moderate,387,No Junction,Magadi Road,"CHI = 50 | 5.7% Junction, 14.7% Vehicle, 16.7% Violation, 25.0% Density, 33.0% Recurrence, 4.9% Temporal"
HS_8960145a68fffff,49.86797376492387,Moderate,388,No Junction,Basavanagudi,"CHI = 50 | 5.7% Junction, 18.6% Vehicle, 17.5% Violation, 25.4% Density, 29.3% Recurrence, 3.6% Temporal"
HS_8960145b58fffff,49.85258845016858,Moderate,389,BTP085 - Briyand Circle,Chamarajpet,"CHI = 50 | 28.3% Junction, 15.1% Vehicle, 18.3% Violation, 20.6% Density, 13.1% Recurrence, 4.6% Temporal"
HS_8961892ee9bffff,49.81782551626804,Moderate,390,No Junction,Banaswadi,"CHI = 50 | 5.7% Junction, 15.5% Vehicle, 14.7% Violation, 26.6% Density, 30.3% Recurrence, 7.3% Temporal"
HS_8960145b457ffff,49.815251314260486,Moderate,391,BTP036 - Police Thimmaiah Circle (GPO),Cubbon Park,"CHI = 50 | 28.4% Junction, 17.3% Vehicle, 17.0% Violation, 19.9% Density, 13.1% Recurrence, 4.3% Temporal"
HS_8961892da23ffff,49.72833053847146,Moderate,392,No Junction,Yelahanka,"CHI = 50 | 5.7% Junction, 19.6% Vehicle, 21.5% Violation, 25.4% Density, 17.8% Recurrence, 9.9% Temporal"
HS_8960145b597ffff,49.60625754285351,Moderate,393,BTP212 - Minto Junction,V.V.Puram (C.Pet),"CHI = 50 | 28.5% Junction, 16.6% Vehicle, 16.3% Violation, 22.1% Density, 12.6% Recurrence, 3.9% Temporal"
HS_89618920b73ffff,49.552034234187346,Moderate,394,No Junction,HAL Old Airport,"CHI = 50 | 5.7% Junction, 19.5% Vehicle, 15.7% Violation, 25.8% Density, 29.0% Recurrence, 4.4% Temporal"
HS_8960145b6b7ffff,49.46741444597848,Moderate,395,"BTP033 - Sophia High School, Sankey Road",High ground,"CHI = 49 | 18.3% Junction, 14.7% Vehicle, 18.8% Violation, 24.6% Density, 19.6% Recurrence, 4.0% Temporal"
HS_89618925b77ffff,49.428768117163244,Moderate,396,BTP167 - JC Road Junction,City Market,"CHI = 49 | 28.6% Junction, 14.3% Vehicle, 21.4% Violation, 20.7% Density, 5.0% Recurrence, 10.0% Temporal"
HS_8960145b153ffff,49.41731137537053,Moderate,397,BTP009 - Prakash Nagar Junction,Rajajinagar,"CHI = 49 | 28.6% Junction, 15.0% Vehicle, 21.0% Violation, 24.0% Density, 7.3% Recurrence, 4.2% Temporal"
HS_8960145b07bffff,49.33943213135377,Moderate,398,No Junction,Malleshwaram,"CHI = 49 | 5.7% Junction, 18.0% Vehicle, 18.7% Violation, 25.0% Density, 28.3% Recurrence, 4.3% Temporal"
HS_8961892cb4bffff,49.32750425249956,Moderate,399,No Junction,Kodigehalli,"CHI = 49 | 5.7% Junction, 17.8% Vehicle, 18.7% Violation, 26.7% Density, 26.6% Recurrence, 4.5% Temporal"
HS_89618924e6bffff,49.285755733872804,Moderate,400,BTP222 - Delmia Circle,J.P. Nagar,"CHI = 49 | 27.7% Junction, 21.3% Vehicle, 16.2% Violation, 20.9% Density, 10.1% Recurrence, 3.9% Temporal"
HS_896189258bbffff,49.17460011761828,Moderate,401,BTP126 - Dairy Circle,Mico Layout,"CHI = 49 | 28.7% Junction, 18.3% Vehicle, 22.5% Violation, 17.6% Density, 9.0% Recurrence, 3.9% Temporal"
HS_8960145b34fffff,49.16271336685911,Moderate,402,No Junction,Yeshwanthpura,"CHI = 49 | 5.7% Junction, 18.4% Vehicle, 18.0% Violation, 25.8% Density, 27.3% Recurrence, 4.8% Temporal"
HS_8960145a28bffff,49.13930194785867,Moderate,403,"BTP093 - Toll Gate, Mysore Road",Magadi Road,"CHI = 49 | 28.7% Junction, 15.7% Vehicle, 25.8% Violation, 17.6% Density, 6.2% Recurrence, 6.0% Temporal"
HS_89601696683ffff,49.13824388223847,Moderate,404,No Junction,Yelahanka,"CHI = 49 | 5.7% Junction, 15.2% Vehicle, 17.1% Violation, 26.9% Density, 24.0% Recurrence, 11.1% Temporal"
HS_89618925b27ffff,49.12757667521567,Moderate,405,BTP106 - VV Puram College,V.V.Puram (C.Pet),"CHI = 49 | 28.8% Junction, 19.4% Vehicle, 15.5% Violation, 20.8% Density, 12.1% Recurrence, 3.4% Temporal"
HS_89618925967ffff,49.122443565851746,Moderate,406,BTP109 - Dewan Madhava Rao Junction,Basavanagudi,"CHI = 49 | 28.8% Junction, 16.0% Vehicle, 15.1% Violation, 25.0% Density, 12.1% Recurrence, 3.0% Temporal"
HS_8961892cb1bffff,49.094952725009335,Moderate,407,No Junction,Kodigehalli,"CHI = 49 | 5.8% Junction, 20.2% Vehicle, 22.9% Violation, 23.2% Density, 16.9% Recurrence, 11.1% Temporal"
HS_89618924a1bffff,49.08616564797244,Moderate,408,BTP196 - Sarakki Main Road,J.P. Nagar,"CHI = 49 | 28.8% Junction, 16.7% Vehicle, 21.4% Violation, 20.4% Density, 3.8% Recurrence, 8.9% Temporal"
HS_8961892735bffff,49.07044587896891,Moderate,409,No Junction,Bellandur,"CHI = 49 | 5.8% Junction, 18.5% Vehicle, 16.3% Violation, 25.4% Density, 30.0% Recurrence, 4.2% Temporal"
HS_896189258c7ffff,48.9778190872873,Moderate,410,BTP133 - Adugodi Junction,Adugodi,"CHI = 49 | 26.4% Junction, 18.6% Vehicle, 16.9% Violation, 20.2% Density, 14.1% Recurrence, 3.8% Temporal"
HS_8961892e01bffff,48.9449049241641,Moderate,411,No Junction,Mahadevapura,"CHI = 49 | 5.8% Junction, 16.1% Vehicle, 21.9% Violation, 27.3% Density, 23.2% Recurrence, 5.8% Temporal"
HS_89618925bafffff,48.90803240087429,Moderate,412,BTP193 - Vasavi Circle,V.V.Puram (C.Pet),"CHI = 49 | 28.9% Junction, 19.1% Vehicle, 19.5% Violation, 17.1% Density, 6.7% Recurrence, 8.7% Temporal"
HS_8961892c9cfffff,48.851375246921336,Moderate,413,No Junction,Kodigehalli,"CHI = 49 | 5.8% Junction, 17.1% Vehicle, 19.9% Violation, 25.3% Density, 27.3% Recurrence, 4.7% Temporal"
HS_89618925a67ffff,48.84579324147181,Moderate,414,"BTP099 - Cash Pharmacy, Residency Road",Cubbon Park,"CHI = 49 | 28.9% Junction, 18.6% Vehicle, 16.5% Violation, 22.0% Density, 10.1% Recurrence, 3.9% Temporal"
HS_896189259b7ffff,48.841245276126315,Moderate,415,"BTP114 - KR Road Junction, Near JSS",Banashankari,"CHI = 49 | 28.9% Junction, 21.3% Vehicle, 20.9% Violation, 16.5% Density, 4.4% Recurrence, 8.0% Temporal"
HS_89618925a4fffff,48.779874233822454,Moderate,416,No Junction,Ashok Nagar,"CHI = 49 | 5.8% Junction, 17.8% Vehicle, 16.0% Violation, 26.8% Density, 28.0% Recurrence, 5.7% Temporal"
HS_89618924a0fffff,48.74563528224824,Moderate,417,"BTP117 - 9th Cross, Kanakapura Road",K.S. Layout,"CHI = 49 | 29.0% Junction, 17.8% Vehicle, 16.4% Violation, 19.4% Density, 11.6% Recurrence, 5.9% Temporal"
HS_8960145a2dbffff,48.71860464255255,Moderate,418,BTP091 - Sirsi Circle,Magadi Road,"CHI = 49 | 29.0% Junction, 19.1% Vehicle, 18.5% Violation, 18.7% Density, 10.1% Recurrence, 4.6% Temporal"
HS_89601458413ffff,48.694111272944276,Moderate,419,BTP214 - 5th Main Chamrajpet  Junction,Vijayanagara,"CHI = 49 | 29.0% Junction, 17.3% Vehicle, 22.2% Violation, 16.5% Density, 5.0% Recurrence, 10.0% Temporal"
HS_89618925ac3ffff,48.67203260543105,Moderate,420,BTP142 - Lower Agram Road Junction,Ashok Nagar,"CHI = 49 | 29.0% Junction, 16.0% Vehicle, 28.3% Violation, 13.9% Density, 0.7% Recurrence, 12.2% Temporal"
HS_8961892588fffff,48.6220144494992,Moderate,421,BTP126 - Dairy Circle,Mico Layout,"CHI = 49 | 29.1% Junction, 20.1% Vehicle, 19.7% Violation, 19.9% Density, 6.7% Recurrence, 4.6% Temporal"
HS_896189258d7ffff,48.60376970892886,Moderate,422,BTP136 - Hosur-Tavarkere Road Junction,Adugodi,"CHI = 49 | 27.4% Junction, 16.3% Vehicle, 19.0% Violation, 20.6% Density, 8.4% Recurrence, 8.3% Temporal"
HS_8961892ea47ffff,48.599331211329115,Moderate,423,No Junction,Banaswadi,"CHI = 49 | 5.8% Junction, 15.6% Vehicle, 20.6% Violation, 26.3% Density, 23.2% Recurrence, 8.4% Temporal"
HS_8960145b453ffff,48.5973550925041,Moderate,424,BTP173 - TMC,Shivajinagar,"CHI = 49 | 29.1% Junction, 19.0% Vehicle, 19.8% Violation, 18.6% Density, 10.6% Recurrence, 2.9% Temporal"
HS_8960145b12bffff,48.53224950616146,Moderate,425,BTP018 - Dhobi Ghat Junction,Vijayanagara,"CHI = 49 | 27.4% Junction, 20.3% Vehicle, 21.8% Violation, 15.4% Density, 1.3% Recurrence, 13.7% Temporal"
HS_896014581cbffff,48.37392727254087,Moderate,426,No Junction,Kamakshipalya,"CHI = 48 | 5.8% Junction, 17.9% Vehicle, 19.1% Violation, 24.5% Density, 26.9% Recurrence, 5.7% Temporal"
HS_896189258cfffff,48.36102890968298,Moderate,427,BTP133 - Adugodi Junction,Adugodi,"CHI = 48 | 29.2% Junction, 17.5% Vehicle, 21.2% Violation, 19.4% Density, 8.4% Recurrence, 4.3% Temporal"
HS_89618926393ffff,48.35546298094216,Moderate,428,No Junction,Electronic City,"CHI = 48 | 5.8% Junction, 17.8% Vehicle, 19.6% Violation, 24.8% Density, 22.8% Recurrence, 9.1% Temporal"
HS_89618924a43ffff,48.27583175858857,Moderate,429,"BTP191 - 40th Cross, 4th Main, Jayanagar",Jayanagara,"CHI = 48 | 29.3% Junction, 15.4% Vehicle, 22.3% Violation, 20.4% Density, 8.4% Recurrence, 4.2% Temporal"
HS_89618924e7bffff,48.21421611432085,Moderate,430,BTP222 - Delmia Circle,J.P. Nagar,"CHI = 48 | 29.3% Junction, 18.6% Vehicle, 18.6% Violation, 19.4% Density, 10.1% Recurrence, 4.1% Temporal"
HS_8960145b4a3ffff,48.15776533556934,Moderate,431,BTP075 - Police Corner,Halasuru Gate,"CHI = 48 | 29.3% Junction, 17.6% Vehicle, 20.2% Violation, 19.9% Density, 10.1% Recurrence, 2.9% Temporal"
HS_896189254a3ffff,48.15181523312604,Moderate,432,No Junction,Bellandur,"CHI = 48 | 5.9% Junction, 16.7% Vehicle, 22.6% Violation, 25.2% Density, 24.8% Recurrence, 4.9% Temporal"
HS_8960145a13bffff,48.149898393367344,Moderate,433,No Junction,Byatarayanapura,"CHI = 48 | 5.9% Junction, 15.8% Vehicle, 21.2% Violation, 26.8% Density, 24.8% Recurrence, 5.5% Temporal"
HS_89618925c07ffff,48.09788254308942,Moderate,434,BTP138 - Sarjapur Road Check Post,Madiwala,"CHI = 48 | 28.5% Junction, 18.4% Vehicle, 17.5% Violation, 18.8% Density, 9.0% Recurrence, 7.9% Temporal"
HS_89618924a77ffff,48.06855262604588,Moderate,435,"BTP117 - 9th Cross, Kanakapura Road",K.S. Layout,"CHI = 48 | 24.2% Junction, 15.2% Vehicle, 17.4% Violation, 22.8% Density, 14.6% Recurrence, 5.9% Temporal"
