spatiotemporal_hotspot_id,temporal_block,violation_count,dominant_junction,dominant_vehicle_type,dominant_violation_type,dominant_police_station
89618925c27ffff_Night_21-07,Night (21-07),36,No Junction,AUTO_RICKSHAW,PARKING IN A MAIN ROAD,Mico Layout
8961892e96bffff_Night_21-07,Night (21-07),36,No Junction,CAR_JEEP,WRONG PARKING,Pulikeshinagar(F.Town)
8961892eb87ffff_Night_21-07,Night (21-07),36,No Junction,TWO_WHEELER,WRONG PARKING,Pulikeshinagar(F.Town)
89618925b23ffff_Morning_Rush_07-10,Morning Rush (07-10),36,BTP118 - Basappa Circle,TWO_WHEELER,WRONG PARKING,City Market
8961892412fffff_Night_21-07,Night (21-07),36,No Junction,TWO_WHEELER,WRONG PARKING,Hulimavu
89618920bc3ffff_Night_21-07,Night (21-07),36,No Junction,LIGHT_COMMERCIAL,WRONG PARKING,HAL Old Airport
8960145b6d3ffff_Night_21-07,Night (21-07),36,No Junction,CAR_JEEP,WRONG PARKING,R.T. Nagar
8960145b49bffff_Morning_Rush_07-10,Morning Rush (07-10),36,BTP063 - Siddalingaiah Circle,CAR_JEEP,NO PARKING,Cubbon Park
8961892ec2bffff_Night_21-07,Night (21-07),36,No Junction,TWO_WHEELER,PARKING IN A MAIN ROAD,Jeevanbheemanagar
8961892e55bffff_Evening_Rush_16-21,Evening Rush (16-21),36,No Junction,CAR_JEEP,WRONG PARKING,Mahadevapura
8961892ed67ffff_Night_21-07,Night (21-07),36,No Junction,CAR_JEEP,NO PARKING,Halasur
8961892cb97ffff_Night_21-07,Night (21-07),36,No Junction,CAR_JEEP,WRONG PARKING,Kodigehalli
8961892440bffff_Morning_Rush_07-10,Morning Rush (07-10),36,No Junction,BUS,WRONG PARKING,Hulimavu
8960145b473ffff_Night_21-07,Night (21-07),36,BTP035 - Basaweshwara Circle (LH) Junction,CAR_JEEP,NO PARKING,High ground
89601459eb3ffff_Night_21-07,Night (21-07),36,No Junction,TWO_WHEELER,WRONG PARKING,Peenya
8960145a653ffff_Night_21-07,Night (21-07),36,BTP106 - VV Puram College,CAR_JEEP,NO PARKING,V.V.Puram (C.Pet)
8960145b577ffff_Night_21-07,Night (21-07),35,BTP074 - Leprosy Hospital Junction,TWO_WHEELER,WRONG PARKING,Magadi Road
8960145b47bffff_Night_21-07,Night (21-07),35,BTP034 - LRDE Junction,CAR_JEEP,WRONG PARKING,High ground
89618925d07ffff_Morning_Rush_07-10,Morning Rush (07-10),35,"BTP179 - 9th Block, 28th Main, Jayanagar",TWO_WHEELER,NO PARKING,Jayanagara
8961892f557ffff_Night_21-07,Night (21-07),35,No Junction,TWO_WHEELER,NO PARKING,K.R. Pura
89618925b13ffff_Night_21-07,Night (21-07),35,BTP103 - Shanti Nagar TTMC,TWO_WHEELER,NO PARKING,Wilson Garden
89618925c77ffff_Night_21-07,Night (21-07),35,BTP140 - Madiwala Check Post,AUTO_RICKSHAW,NO PARKING,Adugodi
89618920b3bffff_Night_21-07,Night (21-07),35,No Junction,CAR_JEEP,WRONG PARKING,HAL Old Airport
8961892f537ffff_Night_21-07,Night (21-07),35,No Junction,CAR_JEEP,WRONG PARKING,K.R. Pura
8961892e3b3ffff_Evening_Rush_16-21,Evening Rush (16-21),35,No Junction,CAR_JEEP,WRONG PARKING,Banaswadi
8960145b307ffff_Office_Hours_10-16,Office Hours (10-16),35,"BTP001 - 10th Cross, Dr. Rajkumar Road",CAR_JEEP,WRONG PARKING,Malleshwaram
8960169050bffff_Night_21-07,Night (21-07),35,No Junction,CAR_JEEP,WRONG PARKING,Chikkajala
89618925897ffff_Morning_Rush_07-10,Morning Rush (07-10),35,No Junction,TWO_WHEELER,NO PARKING,Mico Layout
8960145b097ffff_Evening_Rush_16-21,Evening Rush (16-21),35,BTP058 - Subbanna Junction,AUTO_RICKSHAW,WRONG PARKING,High ground
8960145b323ffff_Evening_Rush_16-21,Evening Rush (16-21),35,BTP023 - Mahalaxmi Layout Entrance,CAR_JEEP,WRONG PARKING,Malleshwaram
8961892419bffff_Night_21-07,Night (21-07),35,No Junction,TWO_WHEELER,NO PARKING,Hulimavu
896189255cbffff_Morning_Rush_07-10,Morning Rush (07-10),35,No Junction,TWO_WHEELER,WRONG PARKING,Bellandur
8960145b437ffff_Morning_Rush_07-10,Morning Rush (07-10),35,BTP044 - Sagar Theatre Junction,AUTO_RICKSHAW,WRONG PARKING,Upparpet
8961892eebbffff_Night_21-07,Night (21-07),35,No Junction,CAR_JEEP,NO PARKING,Banaswadi
89618920e9bffff_Night_21-07,Night (21-07),35,No Junction,CAR_JEEP,WRONG PARKING,Whitefield
8960145862bffff_Night_21-07,Night (21-07),35,No Junction,CAR_JEEP,NO PARKING,Rajajinagar
8961892e44bffff_Night_21-07,Night (21-07),35,No Junction,CAR_JEEP,WRONG PARKING,Mahadevapura
8960145b60bffff_Night_21-07,Night (21-07),35,No Junction,CAR_JEEP,WRONG PARKING,R.T. Nagar
896189258c7ffff_Night_21-07,Night (21-07),35,BTP133 - Adugodi Junction,CAR_JEEP,NO PARKING,Adugodi
8960145b03bffff_Night_21-07,Night (21-07),34,No Junction,CAR_JEEP,NO PARKING,Sheshadripuram
89618925b03ffff_Evening_Rush_16-21,Evening Rush (16-21),34,BTP192 - Urvashi Theater,CAR_JEEP,NO PARKING,Wilson Garden
89601458683ffff_Night_21-07,Night (21-07),34,BTP207 - 8th Main Road Basaveshwara Nagar,CAR_JEEP,WRONG PARKING,Vijayanagara
89601459ebbffff_Night_21-07,Night (21-07),34,No Junction,TWO_WHEELER,WRONG PARKING,Peenya
89618925407ffff_Evening_Rush_16-21,Evening Rush (16-21),34,No Junction,CAR_JEEP,WRONG PARKING,Bellandur
8961892f69bffff_Morning_Rush_07-10,Morning Rush (07-10),34,No Junction,TWO_WHEELER,NO PARKING,K.R. Pura
8961892db63ffff_Night_21-07,Night (21-07),34,No Junction,LIGHT_COMMERCIAL,WRONG PARKING,Yelahanka
8961892738fffff_Evening_Rush_16-21,Evening Rush (16-21),34,No Junction,CAR_JEEP,WRONG PARKING,Bellandur
89601459443ffff_Night_21-07,Night (21-07),34,No Junction,CAR_JEEP,NO PARKING,Kodigehalli
8961892e073ffff_Night_21-07,Night (21-07),34,No Junction,CAR_JEEP,WRONG PARKING,Mahadevapura
89618925567ffff_Night_21-07,Night (21-07),34,No Junction,CAR_JEEP,NO PARKING,HSR Layout
8960145b373ffff_Evening_Rush_16-21,Evening Rush (16-21),34,No Junction,CAR_JEEP,NO PARKING,Malleshwaram
8961892c98bffff_Evening_Rush_16-21,Evening Rush (16-21),34,No Junction,CAR_JEEP,NO PARKING,Hebbala
89601459487ffff_Night_21-07,Night (21-07),34,No Junction,CAR_JEEP,WRONG PARKING,Yeshwanthpura
8960145b593ffff_Evening_Rush_16-21,Evening Rush (16-21),34,BTP082 - KR Market Junction,CAR_JEEP,WRONG PARKING,City Market
89618924b2fffff_Night_21-07,Night (21-07),34,No Junction,CAR_JEEP,PARKING IN A MAIN ROAD,K.S. Layout
8960145b507ffff_Night_21-07,Night (21-07),33,No Junction,HEAVY_COMMERCIAL,WRONG PARKING,Magadi Road
89601458483ffff_Evening_Rush_16-21,Evening Rush (16-21),33,"BTP022 - Marenahalli Junction, Vijayanagar",TWO_WHEELER,WRONG PARKING,Vijayanagara
8960145a6d7ffff_Evening_Rush_16-21,Evening Rush (16-21),33,BTP108 - Tagore Park Junction,CAR_JEEP,NO PARKING,Basavanagudi
8960145b457ffff_Night_21-07,Night (21-07),33,BTP166 - Coffee Board Junction,TWO_WHEELER,NO PARKING,Cubbon Park
89618920957ffff_Morning_Rush_07-10,Morning Rush (07-10),33,No Junction,TWO_WHEELER,WRONG PARKING,HAL Old Airport
8961892e213ffff_Night_21-07,Night (21-07),33,No Junction,TWO_WHEELER,NO PARKING,K.R. Pura
8960145b4a3ffff_Night_21-07,Night (21-07),33,BTP075 - Police Corner,CAR_JEEP,WRONG PARKING,Halasuru Gate
8961892e447ffff_Night_21-07,Night (21-07),33,No Junction,CAR_JEEP,WRONG PARKING,Mahadevapura
89618921a83ffff_Night_21-07,Night (21-07),33,No Junction,TWO_WHEELER,NO PARKING,Mahadevapura
8960145b497ffff_Evening_Rush_16-21,Evening Rush (16-21),33,BTP203 - RRMR Junction,TWO_WHEELER,NO PARKING,Halasuru Gate
89601459b07ffff_Night_21-07,Night (21-07),33,No Junction,HEAVY_COMMERCIAL,WRONG PARKING,No Police Station
8960145a2c3ffff_Evening_Rush_16-21,Evening Rush (16-21),33,No Junction,AUTO_RICKSHAW,WRONG PARKING,Magadi Road
8961892dd5bffff_Morning_Rush_07-10,Morning Rush (07-10),33,No Junction,TWO_WHEELER,WRONG PARKING,Hennuru
89618924e2bffff_Night_21-07,Night (21-07),33,No Junction,CAR_JEEP,NO PARKING,J.P. Nagar
8961892ee93ffff_Night_21-07,Night (21-07),33,No Junction,CAR_JEEP,NO PARKING,Banaswadi
8960145b10fffff_Evening_Rush_16-21,Evening Rush (16-21),33,BTP018 - Dhobi Ghat Junction,CAR_JEEP,WRONG PARKING,Vijayanagara
89601697463ffff_Morning_Rush_07-10,Morning Rush (07-10),33,No Junction,TWO_WHEELER,NO PARKING,Chikkajala
89618925307ffff_Night_21-07,Night (21-07),33,No Junction,LIGHT_COMMERCIAL,NO PARKING,Jeevanbheemanagar
89618924a43ffff_Night_21-07,Night (21-07),33,"BTP191 - 40th Cross, 4th Main, Jayanagar",TWO_WHEELER,WRONG PARKING,Jayanagara
8961892cd2fffff_Night_21-07,Night (21-07),33,No Junction,TWO_WHEELER,WRONG PARKING,R.T. Nagar
89601459137ffff_Night_21-07,Night (21-07),33,No Junction,CAR_JEEP,NO PARKING,Peenya
89618924cc7ffff_Night_21-07,Night (21-07),33,No Junction,TWO_WHEELER,WRONG PARKING,Hulimavu
8960145b5a7ffff_Night_21-07,Night (21-07),33,BTP091 - Sirsi Circle,HEAVY_COMMERCIAL,NO PARKING,Chamarajpet
8960145b2cfffff_Night_21-07,Night (21-07),32,BTP030 - Mekhri Circle,CAR_JEEP,NO PARKING,R.T. Nagar
8961892ecabffff_Night_21-07,Night (21-07),32,No Junction,CAR_JEEP,NO PARKING,Jeevanbheemanagar
89618925c03ffff_Morning_Rush_07-10,Morning Rush (07-10),32,BTP137 - Madiwala Traffic PS Junction,CAR_JEEP,NO PARKING,Madiwala
89618925c63ffff_Morning_Rush_07-10,Morning Rush (07-10),32,BTP135 - UCO Bank Junction,TWO_WHEELER,NO PARKING,Adugodi
8961892589bffff_Night_21-07,Night (21-07),32,BTP136 - Hosur-Tavarkere Road Junction,CAR_JEEP,PARKING IN A MAIN ROAD,Mico Layout
896014514d7ffff_Night_21-07,Night (21-07),32,No Junction,CAR_JEEP,WRONG PARKING,Thalagattapura
8961892ed2bffff_Morning_Rush_07-10,Morning Rush (07-10),32,No Junction,TWO_WHEELER,NO PARKING,Halasur
8960145b237ffff_Night_21-07,Night (21-07),32,No Junction,CAR_JEEP,WRONG PARKING,Malleshwaram
89618925a43ffff_Morning_Rush_07-10,Morning Rush (07-10),32,No Junction,TWO_WHEELER,NO PARKING,Ashok Nagar
896014583cbffff_Night_21-07,Night (21-07),32,No Junction,BUS,WRONG PARKING,Peenya
89618924217ffff_Night_21-07,Night (21-07),32,No Junction,HEAVY_COMMERCIAL,WRONG PARKING,HSR Layout
8960145b37bffff_Night_21-07,Night (21-07),32,No Junction,AUTO_RICKSHAW,NO PARKING,Yeshwanthpura
8960145a29bffff_Night_21-07,Night (21-07),32,BTP092 - Bangalore Builders Junction,CAR_JEEP,NO PARKING,Chamarajpet
896189266bbffff_Night_21-07,Night (21-07),32,No Junction,TWO_WHEELER,PARKING ON FOOTPATH,Electronic City
8961892e2a7ffff_Night_21-07,Night (21-07),32,No Junction,CAR_JEEP,WRONG PARKING,K.R. Pura
8961892db43ffff_Night_21-07,Night (21-07),32,No Junction,CAR_JEEP,WRONG PARKING,Yelahanka
896189255dbffff_Night_21-07,Night (21-07),32,No Junction,TWO_WHEELER,WRONG PARKING,Bellandur
896014591d3ffff_Night_21-07,Night (21-07),32,No Junction,CAR_JEEP,NO PARKING,Jalahalli
8960145b54fffff_Night_21-07,Night (21-07),32,BTP057 - Anand Rao Junction,AUTO_RICKSHAW,WRONG PARKING,Sheshadripuram
8961892e287ffff_Night_21-07,Night (21-07),32,No Junction,TWO_WHEELER,PARKING IN A MAIN ROAD,K.R. Pura
8960145b5b7ffff_Night_21-07,Night (21-07),32,"BTP089 - Police Quarters, Sultan Road",TWO_WHEELER,WRONG PARKING,Chamarajpet
8961892490fffff_Night_21-07,Night (21-07),32,No Junction,CAR_JEEP,NO PARKING,Thalagattapura
8960145912bffff_Night_21-07,Night (21-07),31,No Junction,HEAVY_COMMERCIAL,WRONG PARKING,Chikkabanavara
8960145a037ffff_Night_21-07,Night (21-07),31,No Junction,TWO_WHEELER,WRONG PARKING,Banashankari
8960145b437ffff_Evening_Rush_16-21,Evening Rush (16-21),31,BTP038 - Mysore Bank Junction,BUS,WRONG PARKING,Upparpet
8960145b3afffff_Morning_Rush_07-10,Morning Rush (07-10),31,"BTP026 - 1st Block Junction, Rajajinagar",TWO_WHEELER,WRONG PARKING,Malleshwaram
8960145b4d3ffff_Night_21-07,Night (21-07),31,No Junction,CAR_JEEP,NO PARKING,Cubbon Park
8960145959bffff_Night_21-07,Night (21-07),31,No Junction,HEAVY_COMMERCIAL,WRONG PARKING,Yeshwanthpura
8960145b14fffff_Evening_Rush_16-21,Evening Rush (16-21),31,"BTP011 - RR Kalyana Mantapa, Dr. Rajkumar Road",CAR_JEEP,WRONG PARKING,Rajajinagar
89618924053ffff_Morning_Rush_07-10,Morning Rush (07-10),31,No Junction,TWO_WHEELER,WRONG PARKING,HSR Layout
8960169050fffff_Night_21-07,Night (21-07),31,No Junction,CAR_JEEP,WRONG PARKING,Chikkajala
89618925c1bffff_Night_21-07,Night (21-07),31,No Junction,CAR_JEEP,WRONG PARKING,Madiwala
8961892512fffff_Night_21-07,Night (21-07),31,No Junction,CAR_JEEP,NO PARKING,Adugodi
8961892728bffff_Night_21-07,Night (21-07),31,No Junction,CAR_JEEP,WRONG PARKING,Bellandur
8960145b08fffff_Morning_Rush_07-10,Morning Rush (07-10),31,No Junction,CAR_JEEP,WRONG PARKING,Sheshadripuram
89618925863ffff_Morning_Rush_07-10,Morning Rush (07-10),31,"BTP123 - 10th Cross, Wilson Garden",TWO_WHEELER,WRONG PARKING,Wilson Garden
8960145b0afffff_Night_21-07,Night (21-07),31,No Junction,TWO_WHEELER,NO PARKING,Sheshadripuram
89618924adbffff_Night_21-07,Night (21-07),31,"BTP197 - 9th Cross, 24th Main, JP Nagar",CAR_JEEP,NO PARKING,J.P. Nagar
896014592b3ffff_Night_21-07,Night (21-07),31,No Junction,CAR_JEEP,NO PARKING,Jalahalli
8960145a66bffff_Night_21-07,Night (21-07),31,BTP091 - Sirsi Circle,CAR_JEEP,WRONG PARKING,Chamarajpet
8961892e40bffff_Night_21-07,Night (21-07),31,No Junction,CAR_JEEP,WRONG PARKING,Mahadevapura
896014586d3ffff_Morning_Rush_07-10,Morning Rush (07-10),31,BTP205 - Modi Hospital Junction,TWO_WHEELER,WRONG PARKING,Vijayanagara
8960145b1abffff_Morning_Rush_07-10,Morning Rush (07-10),31,"BTP024 - NPS, Vijayanagar",CAR_JEEP,NO PARKING,Magadi Road
89618924b2bffff_Morning_Rush_07-10,Morning Rush (07-10),30,No Junction,TWO_WHEELER,NO PARKING,K.S. Layout
8961892e0dbffff_Night_21-07,Night (21-07),30,No Junction,CAR_JEEP,WRONG PARKING,Mahadevapura
89618925983ffff_Morning_Rush_07-10,Morning Rush (07-10),30,"BTP226 - 33rd Cross, 11th Main, Jayanagar",CAR_JEEP,NO PARKING,Jayanagara
8960145b0cfffff_Night_21-07,Night (21-07),30,No Junction,CAR_JEEP,NO PARKING,Sheshadripuram
8960145a46bffff_Night_21-07,Night (21-07),30,No Junction,TWO_WHEELER,WRONG PARKING,Basavanagudi
8960145165bffff_Morning_Rush_07-10,Morning Rush (07-10),30,No Junction,TWO_WHEELER,WRONG PARKING,K.S. Layout
89618925b63ffff_Morning_Rush_07-10,Morning Rush (07-10),30,"BTP080 - NR Road, SP Road Junction",CAR_JEEP,WRONG PARKING,Halasuru Gate
8960145b3d7ffff_Night_21-07,Night (21-07),30,No Junction,CAR_JEEP,WRONG PARKING,Malleshwaram
8961892cb17ffff_Night_21-07,Night (21-07),30,No Junction,TWO_WHEELER,WRONG PARKING,Kodigehalli
8961892734bffff_Morning_Rush_07-10,Morning Rush (07-10),30,No Junction,TWO_WHEELER,WRONG PARKING,Bellandur
8960145b25bffff_Morning_Rush_07-10,Morning Rush (07-10),30,No Junction,CAR_JEEP,WRONG PARKING,R.T. Nagar
896014514dbffff_Night_21-07,Night (21-07),30,No Junction,CAR_JEEP,NO PARKING,Thalagattapura
8960145b11bffff_Morning_Rush_07-10,Morning Rush (07-10),30,"BTP210 - 50th cross, 12th Main , Rajajinagar",CAR_JEEP,WRONG PARKING,Rajajinagar
8960145a067ffff_Night_21-07,Night (21-07),30,No Junction,CAR_JEEP,NO PARKING,Byatarayanapura
8960145a20fffff_Night_21-07,Night (21-07),30,No Junction,CAR_JEEP,NO PARKING,Magadi Road
896189240d3ffff_Morning_Rush_07-10,Morning Rush (07-10),30,No Junction,HEAVY_COMMERCIAL,WRONG PARKING,Hulimavu
89618924e67ffff_Night_21-07,Night (21-07),30,"BTP221 - 15th Cross, 24th Main, JP Nagar",CAR_JEEP,NO PARKING,J.P. Nagar
8960145901bffff_Night_21-07,Night (21-07),30,No Junction,CAR_JEEP,WRONG PARKING,Jalahalli
8960145b18fffff_Evening_Rush_16-21,Evening Rush (16-21),30,"BTP062 - Basava Mantapa, Dr. Rajkumar Road",TWO_WHEELER,NO PARKING,Magadi Road
89618921957ffff_Night_21-07,Night (21-07),30,No Junction,TWO_WHEELER,PARKING ON FOOTPATH,Mahadevapura
896189259d3ffff_Night_21-07,Night (21-07),30,No Junction,TWO_WHEELER,WRONG PARKING,Jayanagara
8960145b007ffff_Morning_Rush_07-10,Morning Rush (07-10),29,No Junction,TWO_WHEELER,WRONG PARKING,Malleshwaram
89601459347ffff_Morning_Rush_07-10,Morning Rush (07-10),29,No Junction,TWO_WHEELER,NO PARKING,Jalahalli
89601459417ffff_Night_21-07,Night (21-07),29,No Junction,CAR_JEEP,NO PARKING,Yeshwanthpura
8960145b303ffff_Morning_Rush_07-10,Morning Rush (07-10),29,No Junction,TWO_WHEELER,WRONG PARKING,Malleshwaram
896189242d7ffff_Night_21-07,Night (21-07),29,No Junction,TWO_WHEELER,NO PARKING,HSR Layout
89618925913ffff_Morning_Rush_07-10,Morning Rush (07-10),29,BTP219 - Canara Bank Junction,CAR_JEEP,WRONG PARKING,Jayanagara
89601696023ffff_Night_21-07,Night (21-07),29,No Junction,TWO_WHEELER,NO PARKING,Yelahanka
89618925457ffff_Night_21-07,Night (21-07),29,No Junction,LIGHT_COMMERCIAL,WRONG PARKING,HAL Old Airport
8961892588fffff_Night_21-07,Night (21-07),29,BTP126 - Dairy Circle,CAR_JEEP,NO PARKING,Mico Layout
8960145a6bbffff_Night_21-07,Night (21-07),29,No Junction,TWO_WHEELER,WRONG PARKING,Basavanagudi
896189243dbffff_Night_21-07,Night (21-07),29,No Junction,TWO_WHEELER,NO PARKING,Madiwala
8961892cb57ffff_Morning_Rush_07-10,Morning Rush (07-10),29,No Junction,CAR_JEEP,WRONG PARKING,Kodigehalli
8961892731bffff_Night_21-07,Night (21-07),29,No Junction,TWO_WHEELER,NO PARKING,Bellandur
8960145a69bffff_Evening_Rush_16-21,Evening Rush (16-21),29,BTP108 - Tagore Park Junction,TWO_WHEELER,WRONG PARKING,Basavanagudi
89618925e77ffff_Night_21-07,Night (21-07),29,No Junction,TWO_WHEELER,NO PARKING,Ashok Nagar
8961892e41bffff_Night_21-07,Night (21-07),29,No Junction,TWO_WHEELER,WRONG PARKING,Mahadevapura
8960169052fffff_Office_Hours_10-16,Office Hours (10-16),29,No Junction,LIGHT_COMMERCIAL,NO PARKING,Chikkajala
89618924ac7ffff_Evening_Rush_16-21,Evening Rush (16-21),29,BTP196 - Sarakki Main Road,CAR_JEEP,WRONG PARKING,J.P. Nagar
8961892c517ffff_Night_21-07,Night (21-07),29,No Junction,TWO_WHEELER,WRONG PARKING,Hennuru
8960145a24bffff_Morning_Rush_07-10,Morning Rush (07-10),29,BTP071 - Prasanna Junction,TWO_WHEELER,NO PARKING,Magadi Road
8960145b60bffff_Evening_Rush_16-21,Evening Rush (16-21),28,No Junction,CAR_JEEP,NO PARKING,R.T. Nagar
89618925b97ffff_Night_21-07,Night (21-07),28,No Junction,TWO_WHEELER,NO PARKING,Wilson Garden
896014591b7ffff_Night_21-07,Night (21-07),28,No Junction,CAR_JEEP,WRONG PARKING,Peenya
8960145a2d7ffff_Night_21-07,Night (21-07),28,BTP092 - Bangalore Builders Junction,TWO_WHEELER,NO PARKING,Chamarajpet
89618925ad7ffff_Night_21-07,Night (21-07),28,BTP142 - Lower Agram Road Junction,CAR_JEEP,WRONG PARKING,Ashok Nagar
8960145a0cfffff_Morning_Rush_07-10,Morning Rush (07-10),28,No Junction,TWO_WHEELER,WRONG PARKING,Banashankari
896014584cfffff_Night_21-07,Night (21-07),28,"BTP025 - Puttamma Choultry, Nagarbhavi",CAR_JEEP,WRONG PARKING,Vijayanagara
89618925b77ffff_Evening_Rush_16-21,Evening Rush (16-21),28,BTP167 - JC Road Junction,AUTO_RICKSHAW,WRONG PARKING,City Market
896189246b3ffff_Night_21-07,Night (21-07),28,No Junction,TWO_WHEELER,WRONG PARKING,Electronic City
8961892e47bffff_Night_21-07,Night (21-07),28,No Junction,CAR_JEEP,WRONG PARKING,Mahadevapura
8960145a397ffff_Night_21-07,Night (21-07),28,BTP098 - Nayandahalli Junction,CAR_JEEP,WRONG PARKING,Byatarayanapura
896189256cfffff_Night_21-07,Night (21-07),28,No Junction,LIGHT_COMMERCIAL,NO PARKING,HAL Old Airport
8961892598bffff_Morning_Rush_07-10,Morning Rush (07-10),28,BTP225 - Geetha Junction,TWO_WHEELER,NO PARKING,Jayanagara
89618925363ffff_Morning_Rush_07-10,Morning Rush (07-10),28,"BTP148 - 17th Main, Doopanahalli Bus Stop",TWO_WHEELER,NO PARKING,Jeevanbheemanagar
8961892e977ffff_Night_21-07,Night (21-07),28,No Junction,CAR_JEEP,NO PARKING,Pulikeshinagar(F.Town)
89618920bcfffff_Night_21-07,Night (21-07),28,No Junction,LIGHT_COMMERCIAL,WRONG PARKING,HAL Old Airport
89618925b87ffff_Night_21-07,Night (21-07),28,No Junction,TWO_WHEELER,NO PARKING,Wilson Garden
8960145b34fffff_Evening_Rush_16-21,Evening Rush (16-21),28,No Junction,CAR_JEEP,NO PARKING,Yeshwanthpura
896014582d3ffff_Morning_Rush_07-10,Morning Rush (07-10),28,No Junction,CAR_JEEP,PARKING IN A MAIN ROAD,Rajajinagar
8961892c357ffff_Night_21-07,Night (21-07),28,No Junction,CAR_JEEP,WRONG PARKING,Hennuru
8961892ce87ffff_Night_21-07,Night (21-07),28,No Junction,TWO_WHEELER,NO PARKING,Hennuru
896189266abffff_Office_Hours_10-16,Office Hours (10-16),28,No Junction,CAR_JEEP,WRONG PARKING,Electronic City
896189244d7ffff_Evening_Rush_16-21,Evening Rush (16-21),28,No Junction,TWO_WHEELER,WRONG PARKING,Electronic City
896189244c7ffff_Night_21-07,Night (21-07),28,No Junction,CAR_JEEP,WRONG PARKING,Electronic City
89601459453ffff_Night_21-07,Night (21-07),28,No Junction,CAR_JEEP,NO PARKING,Sadashivanagar
8961892eb07ffff_Night_21-07,Night (21-07),28,No Junction,TWO_WHEELER,NO PARKING,K.G. Halli
8960145b087ffff_Morning_Rush_07-10,Morning Rush (07-10),28,No Junction,CAR_JEEP,WRONG PARKING,Sheshadripuram
896189253abffff_Night_21-07,Night (21-07),28,No Junction,LIGHT_COMMERCIAL,NO PARKING,Jeevanbheemanagar
89601459683ffff_Night_21-07,Night (21-07),27,No Junction,CAR_JEEP,NO PARKING,Kodigehalli
8960145a347ffff_Night_21-07,Night (21-07),27,No Junction,TWO_WHEELER,WRONG PARKING,Byatarayanapura
8961892288bffff_Night_21-07,Night (21-07),27,No Junction,CAR_JEEP,WRONG PARKING,No Police Station
89618925b97ffff_Evening_Rush_16-21,Evening Rush (16-21),27,No Junction,TWO_WHEELER,NO PARKING,Wilson Garden
89618925b93ffff_Night_21-07,Night (21-07),27,BTP122 - Siddapura Junction,AUTO_RICKSHAW,NO PARKING,Wilson Garden
896189240c3ffff_Evening_Rush_16-21,Evening Rush (16-21),27,No Junction,CAR_JEEP,WRONG PARKING,Hulimavu
8961892c82fffff_Evening_Rush_16-21,Evening Rush (16-21),27,No Junction,TWO_WHEELER,NO PARKING,Hebbala
89618921d8fffff_Night_21-07,Night (21-07),27,No Junction,CAR_JEEP,PARKING IN A MAIN ROAD,Whitefield
896189242afffff_Evening_Rush_16-21,Evening Rush (16-21),27,No Junction,CAR_JEEP,WRONG PARKING,HSR Layout
89601697463ffff_Evening_Rush_16-21,Evening Rush (16-21),27,No Junction,TWO_WHEELER,NO PARKING,Chikkajala
89601696003ffff_Night_21-07,Night (21-07),27,No Junction,TWO_WHEELER,NO PARKING,Yelahanka
89618925b7bffff_Evening_Rush_16-21,Evening Rush (16-21),27,"BTP080 - NR Road, SP Road Junction",CAR_JEEP,NO PARKING,Halasuru Gate
89601459533ffff_Night_21-07,Night (21-07),27,No Junction,HEAVY_COMMERCIAL,WRONG PARKING,Rajajinagar
896189251a3ffff_Night_21-07,Night (21-07),27,No Junction,CAR_JEEP,NO PARKING,Adugodi
89618920967ffff_Night_21-07,Night (21-07),27,No Junction,CAR_JEEP,NO PARKING,HAL Old Airport
89618924a03ffff_Night_21-07,Night (21-07),27,BTP196 - Sarakki Main Road,TWO_WHEELER,WRONG PARKING,J.P. Nagar
8961892ed13ffff_Night_21-07,Night (21-07),27,No Junction,CAR_JEEP,NO PARKING,Halasur
89618924b2fffff_Morning_Rush_07-10,Morning Rush (07-10),27,No Junction,CAR_JEEP,PARKING IN A MAIN ROAD,K.S. Layout
8960145a6cbffff_Night_21-07,Night (21-07),27,BTP106 - VV Puram College,TWO_WHEELER,NO PARKING,V.V.Puram (C.Pet)
8961892e927ffff_Morning_Rush_07-10,Morning Rush (07-10),27,BTP211 - Central Street Junction,CAR_JEEP,PARKING IN A MAIN ROAD,Shivajinagar
8961892ed27ffff_Night_21-07,Night (21-07),27,No Junction,CAR_JEEP,NO PARKING,Halasur
89618924e7bffff_Night_21-07,Night (21-07),27,BTP222 - Delmia Circle,CAR_JEEP,NO PARKING,J.P. Nagar
8961892ddbbffff_Night_21-07,Night (21-07),27,No Junction,CAR_JEEP,NO PARKING,Hennuru
8961892e923ffff_Office_Hours_10-16,Office Hours (10-16),27,BTP211 - Central Street Junction,AUTO_RICKSHAW,WRONG PARKING,Shivajinagar
8961892ec23ffff_Morning_Rush_07-10,Morning Rush (07-10),27,No Junction,TWO_WHEELER,NO PARKING,Jeevanbheemanagar
8961892ebcbffff_Night_21-07,Night (21-07),26,No Junction,TWO_WHEELER,NO PARKING,Banaswadi
89618920aa3ffff_Night_21-07,Night (21-07),26,No Junction,CAR_JEEP,WRONG PARKING,Whitefield
896016900d7ffff_Night_21-07,Night (21-07),26,No Junction,CAR_JEEP,NO PARKING,Devanahalli Airport
8960145b45bffff_Morning_Rush_07-10,Morning Rush (07-10),26,BTP171 - Indian Express (Balekundri),TWO_WHEELER,WRONG PARKING,Shivajinagar
896014581cbffff_Morning_Rush_07-10,Morning Rush (07-10),26,No Junction,CAR_JEEP,NO PARKING,Kamakshipalya
